SID,DOB,DOT,Age,Sex,Language,Location,Experimenter,Coder,Exclude,Exclusion_reason,Knower_level,Task,Trial_number,Task_item,Response,Correct,Mem_check_1,Mem_check_2,Counted,Notes,Exclude_trial,Exclude_trial_reason
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,Training,0,,HELP,,,NA,,0,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,1,1,,HELP,,,NA,,0,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,2,3,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,3,5,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,4,2,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,5,4,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,6,3,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,7,5,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,8,1,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,9,2,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,SF,10,4,,HELP,,,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,1,1,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,2,3,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,3,5,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,4,2,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,5,4,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,6,3,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,7,5,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,8,1,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,9,2,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Next_number,10,4,,HELP,NA,NA,NA,,,
CopyPasteMe,ChangeMe,ChangeMe,#VALUE!,ChangeMe,English,ChangeMe,ChangeMe,ChangeMe,0,,ChangeMe,Give_N,1,NA,,HELP,NA,NA,,,0,
